@RELATION tcc

@ATTRIBUTE Hydro REAL
@ATTRIBUTE Avg REAL
@ATTRIBUTE Ctermhydro REAL
@ATTRIBUTE Ctermcharge NUMERIC
@ATTRIBUTE CtermHRK NUMERIC
@ATTRIBUTE mtp NUMERIC
@ATTRIBUTE sln REAL
@ATTRIBUTE coiledmedia NUMERIC
@ATTRIBUTE class {yes,,no}


@DATA
-254.20,-0.48,-7.80,0,4,60,0.15,89,yes
-77.20,-0.15,-23.60,-1,2,32,0.10,498,yes
-101.00,-1.44,-29.60,4,6,94,0.12,398,yes
-105.80,-0.41,-12.80,-1,3,435,0.08,130,yes
-126.10,-0.29,-17.20,2,4,571,0.10,172,yes
-395.40,-0.30,-11.60,-2,1,81,0.22,552,yes
-176.80,-0.45,-41.50,1,5,58,0.10,128,yes
-62.30,-0.22,1.70,1,2,71,0.09,147,yes
-281.00,-0.25,2.70,-1,2,62,0.12,961,yes
-717.70,-0.38,-29.40,-1,4,64,0.42,966,yes
-28.30,-0.15,-23.60,-4,1,56,0.21,158,yes
-95.00,-0.30,-7.40,-2,2,97,0.03,943,yes
-180.30,-0.49,-7.70,-3,2,23,0.07,317,yes
-809.00,-0.53,-19.60,1,5,160,0.19,334,yes
-81.20,-0.31,-5.00,-1,1,77,0.05,117,yes
-71.90,-0.30,-17.00,-1,6,199,0.06,169,yes
-478.30,-0.43,-11.20,-1,3,120,0.21,352,yes
-286.60,-0.57,-5.00,-7,1,271,0.35,906,yes
-267.00,-0.71,-9.90,0,3,120,0.48,894,yes
11.40,0.05,-6.80,-1,3,136,0.11,47,yes
-124.60,-0.54,-30.20,-2,4,91,0.02,371,yes
-182.70,-0.20,-15.30,1,1,35,0.12,589,yes
-703.60,-0.49,-3.30,-1,1,76,0.15,996,yes
-202.70,-0.58,-52.00,4,9,38,0.60,333,yes
-55.50,-0.10,-19.10,1,4,52,0.09,13,yes
-191.10,-0.37,-22.50,5,5,16,0.16,621,yes
-125.30,-0.47,-23.50,-1,4,167,0.08,381,yes
-302.30,-0.45,-44.80,0,6,77,0.39,981,yes
-147.30,-0.30,-17.70,0,4,74,0.12,732,yes
53.90,0.19,-18.60,-2,2,69,0.02,95,yes
-219.30,0.30,18.00,1,2,100,0.09,425,yes
-23.90,-0.05,-33.20,-1,3,78,0.10,991,yes
