@RELATION tcc

@ATTRIBUTE Hydro REAL
@ATTRIBUTE Avg REAL
@ATTRIBUTE Ctermhydro REAL
@ATTRIBUTE Ctermcharge NUMERIC
@ATTRIBUTE CtermHRK NUMERIC
@ATTRIBUTE mtp NUMERIC
@ATTRIBUTE sln REAL
@ATTRIBUTE coiledmedia NUMERIC
@ATTRIBUTE class {yes,no}


@DATA
27.00,0.07,2.40,-2,1,68,0.04,137,no
-108.90,-0.31,-6.90,2,4,90,0.21,265,no
-119.70,-0.19,-1.10,0,2,58,0.03,31,no
-79.30,-0.28,-29.30,1,4,84,0.03,6,no
311.40,0.94,39.40,0,0,19,0.22,181,no
-84.60,-0.37,-30.60,0,4,125,0.08,284,no
-55.50,-0.19,2.40,5,5,149,0.07,57,no
-41.70,-0.19,-5.20,2,3,59,0.11,61,no
302.50,0.77,33.00,2,2,42,0.19,999,no
-249.60,-0.38,-7.30,-1,4,38,0.20,473,no
70.20,0.13,6.40,2,3,180,0.09,54,no
-15.40,-0.04,17.90,2,3,79,0.05,147,no
-62.30,-0.22,1.70,1,2,71,0.03,179,no
-104.70,-0.55,-41.70,6,8,24,0.02,21,no
166.40,0.84,28.50,2,3,168,0.05,6,no
409.30,0.96,32.00,2,2,47,0.10,1,no
108.40,0.82,46.70,0,0,31,0.02,109,no
-129.80,-0.28,-27.60,3,6,198,0.04,1,no
220.30,0.94,52.40,1,1,46,0.09,10,no
135.20,0.67,1.00,5,6,475,0.05,532,no
8.60,0.03,-11.20,1,4,102,0.42,42,no
-42.50,-0.46,-24.80,5,6,81,0.09,522,no
-89.80,-0.19,-18.40,4,7,83,0.07,7,no
-43.70,-0.21,-8.40,4,5,47,0.12,10,no
-84.00,-0.21,-2.20,-1,1,114,0.17,129,no
-111.90,-0.23,-11.10,2,4,65,0.09,61,no
-12.70,-0.05,-0.60,-4,1,295,0.02,144,no
65.60,0.11,-7.20,0,3,418,0.01,24,no
90.00,0.27,22.60,2,2,70,0.18,83,no
82.40,0.37,-12.10,1,3,75,0.03,582,no
387.20,0.82,-12.50,-3,2,44,0.12,278,no
-175.00,-0.39,-13.00,3,5,52,0.23,166,no
3.40,0.04,-19.70,-1,4,255,0.04,519,no
-83.90,-0.14,12.40,0,3,76,0.20,117,no
-256.80,-0.47,-8.70,-2,2,30,0.21,75,no
-36.10,-0.13,-9.80,5,7,46,0.01,4,no
122.90,0.95,54.20,1,1,180,0.05,0,no
104.10,0.91,41.90,0,0,132,0.19,367,no
-167.30,-0.28,-25.50,-1,4,687,0.16,371,no
-273.00,-0.29,1.30,1,3,125,0.14,194,no
-113.50,-0.28,4.70,-1,3,63,0.21,80,no
29.20,0.07,10.50,1,3,609,0.01,436,no
-156.10,-0.73,-49.30,8,11,175,0.09,5,no
-32.20,-0.26,38.50,-2,0,124,0.16,306,no
-127.00,-0.30,-10.10,-2,1,162,0.08,229,no
-12.40,-0.03,-2.40,-1,3,226,0.17,43,no
-64.10,-0.20,5.80,1,4,378,0.18,243,no
-34.30,-0.11,-0.00,2,3,126,0.02,16,no
-55.30,-0.22,-17.80,3,7,238,0.21,1,no
379.50,0.87,11.50,4,4,77,0.53,52,no
-0.20,-0.00,-4.60,0,4,289,0.18,88,no
-44.10,-0.19,-20.70,6,9,65,0.08,623,no
-130.30,-0.31,-8.40,0,3,166,0.12,95,no
-51.50,-0.41,9.00,-2,2,61,0.10,2,no
-51.60,-0.69,-40.50,4,7,108,0.18,260,no
37.70,0.09,1.50,3,4,84,0.04,1,no
306.60,0.71,27.10,3,4,34,0.07,430,no
-102.00,-0.38,0.60,4,5,164,0.12,2,no
391.70,0.96,46.40,0,0,44,0.16,4,no
349.70,0.88,37.80,2,3,133,0.08,108,no
-34.90,-0.14,-26.00,2,3,384,0.14,994,no
-53.80,-0.19,-9.40,2,4,11,0.18,213,no
-134.80,-0.23,-6.10,-3,3,104,0.04,1,no
228.30,0.61,23.30,4,5,35,0.17,122,no
238.40,0.64,20.30,1,2,101,0.40,929,no
-116.50,-0.24,6.90,-2,1,38,0.21,141,no
-272.30,-0.45,-2.30,1,2,80,0.23,143,no
-83.10,-0.16,-4.60,2,3,49,0.03,738,no
-355.80,-0.33,3.70,-3,1,70,0.03,1,no
-16.20,-0.48,-24.80,2,4,197,0.23,13,no
-2.00,-0.01,-6.30,4,4,19,0.15,28,no
412.40,0.86,-5.60,3,5,8,0.08,359,no
-6.50,-0.02,19.10,-1,2,115,0.06,953,no
47.10,0.13,-0.20,2,5,162,0.04,19,no
26.10,0.08 ,-5.40,-1,3,426,0.03,582,no
-5.60,-0.02,-23.10,-6,1,279,0.22,0,no
195.10,1.23,20.10,3,3,17,0.21,204,no
-118.70,-0.53,-29.00,3,6,281,0.69,523,no
-213.20,-0.28,-21.20,4,8,76,0.70,5,no
11.30,0.03,23.80,1,3,26,0.19,17,no
-44.00,-0.45,-18.70,2,6,202,0.13,49,no
-65.70,-0.25,-32.00,3,7,88,0.02,106,no
287.40,0.69,-15.60,3,6,26,0.02,1,no
35.80,0.29,2.70,-3,1,85,0.03,14,no
207.50,1.04,28.20,0,1,29,0.23,122,no
-39.30,-0.13,-25.40,4,6,15,0.29,976,no
-46.50,-0.10,1.10,-1,3,150,0.02,927,no
-210.90,-0.37,-9.70,2,6,58,0.03,335,no
-50.10,-0.19,-7.00,2,5,206,0.13,33,no
35.90,0.06,-7.20,-1,1,44,0.01,31,no
-105.00,-0.32,-32.20,2,6,236,0.02,43,no
218.30,0.97,30.10,0,1,187,0.09,99,no
-23.30,-0.09,-2.40,1,5,191,0.62,19,no
-154.70,-0.37,11.60,1,4,64,0.09,348,no
-231.30,-0.48,-8.70,0,4,54,0.17,13,no
467.60,0.87,-3.80,5,7,114,0.03,343,no
-198.60,-0.33,-34.00,0,4,115,0.05,7,no
-75.10,-0.37,7.40,1,4,115,0.28,11,no
19.10,0.09,2.40,-1,3,161,0.13,6,no
-45.10,-0.11,-15.60,4,7,47,0.23,10,no
22.60,0.15,-19.20,4,6,27,0.05,146,no
-77.10,-0.14,-30.20,5,9,149,0.07,547,no
-27.10,-0.10,-17.70,0,5,26,0.15,7,no
409.10,0.85,31.80,2,3,29,0.19,251,no
-125.00,-0.23,-18.60,1,4,194,0.57,26,no
7.00,0.01,-8.20,0,5,815,0.08,153,no
6.10,0.01,5.70,3,4,181,0.25,16,no
4.80,0.02,-0.80,0,2,495,0.05,324,no
-98.10,-0.69,-2.10,-2,3,76,0.17,28,no
-63.40,-0.25,-17.20,-1,4,412,0.03,5,no
330.30,0.61,-7.80,0,4,276,0.01,518,no
34.10,0.08,-8.30,-1,3,534,0.03,0,no
-37.60,-0.65,-19.20,-8,1,32,0.21,321,no
71.20,0.28,-40.80,2,5,16,0.63,328,no
230.70,0.33,-9.10,0,3,6,0.01,578,no
39.80,0.10,-22.20,-6,2,219,0.01,14,no
284.20,1.11,10.50,1,3,80,0.01,1,no
