@RELATION tcc

@ATTRIBUTE Hydro REAL
@ATTRIBUTE Avg REAL
@ATTRIBUTE Ctermhydro REAL
@ATTRIBUTE Ctermcharge NUMERIC
@ATTRIBUTE CtermHRK NUMERIC
@ATTRIBUTE coiledmedia NUMERIC
@ATTRIBUTE sln NUMERIC
@ATTRIBUTE slm NUMERIC
@ATTRIBUTE predomain NUMERIC
@ATTRIBUTE class {yes,no}


@DATA
-253.6,-126.8,-22.9,2,4,1,0,1,0,yes
-396.4,-198.2,-68.1,-4,5,1,0,1,0,yes
-1189.7,-594.85,-7.2,1,2,1,1,0,0,yes
-318.6,-159.3,-3.9,3,4,1,0,1,0,yes
-230.8,-115.4,-13.5,0,4,1,0,0,0,yes
-215.2,-107.6,-17.2,1,4,1,0,0,0,yes
-205.0,-102.5,-11.7,-5,0,1,0,0,0,yes
-580.4,-290.2,-19.0,-2,3,1,0,0,0,yes
-506.8,-253.4,-4.8,-3,1,1,0,0,0,yes
-306.2,-153.1,-23.5,-1,2,1,0,0,0,yes
-237.0,-118.5,-8.5,-4,2,1,0,0,0,yes
-323.6,-161.8,-15.2,1,1,1,0,0,0,yes
-226.2,-113.1,-4.4,0,2,1,0,0,0,yes
-264.4,-132.2,-34.7,4,6,1,0,0,0,yes
-285.4,-142.7,-32.9,7,9,1,0,1,0,yes
-563.9,-281.95,-22.7,1,2,1,0,0,0,yes
-1862.8,-931.4,-22.9,3,4,1,1,1,0,yes
-409.4,-204.7,-30.6,5,6,1,0,0,0,yes
-316.7,-158.35,-9.4,-1,1,1,1,0,0,yes
-265.9,-132.95,-52.2,-4,4,1,0,0,0,yes
-530.1,-265.05,-3.3,1,3,1,0,0,1,yes
-205.1,-102.55,-24.9,4,7,1,0,0,0,yes
-377.8,-188.9,-17.9,-2,3,1,1,0,0,yes
-223.6,-111.8,-27.6,5,7,1,0,0,0,yes
-314.7,-157.35,-32.5,8,9,1,0,1,0,yes
-301.3,-150.65,-22.7,5,5,1,0,1,0,yes
-263.7,-131.85,-22.9,2,4,1,0,1,0,yes
-378.2,-189.1,-12.3,0,3,1,0,0,0,yes
-362.4,-181.2,-61.6,0,7,1,0,1,0,yes
-355.7,-177.85,-34.9,-1,4,1,1,0,0,yes
-336.5,-168.25,-4.7,1,3,1,0,1,0,yes
-378.4,-189.2,-15.3,1,4,1,1,0,0,yes
-431.6,-215.8,-20.4,-3,1,1,0,0,0,yes
-500.3,-250.15,-4.7,-4,0,1,0,0,0,yes
-244.1,-122.05,-12.0,1,2,1,0,1,0,yes
-265.6,-132.8,-47.4,-5,4,1,0,0,0,yes
-1742.8,-871.4,-20.7,3,6,1,1,0,0,yes
-599.0,-299.5,-16.3,1,3,1,0,0,0,yes
-261.8,-130.9,-33.8,5,7,1,1,1,0,yes
-305.0,-152.5,-37.0,4,5,1,0,0,0,yes
-413.1,-206.55,-18.6,1,4,1,0,0,0,yes
